Index,deltaT_us,distance_cm,timestamp_ms
475,649.0,11.13,24705.0
476,655.0,11.23,24756.0
477,631.0,10.82,24808.0
478,624.0,10.7,24860.0
479,625.0,10.72,24912.0
480,625.0,10.72,24965.0
481,631.0,10.82,25016.0
482,655.0,11.23,25068.0
483,649.0,11.13,25120.0
484,625.0,10.72,25172.0
485,625.0,10.72,25225.0
486,657.0,11.27,25277.0
487,631.0,10.82,25328.0
488,625.0,10.72,25380.0
489,625.0,10.72,25433.0
490,624.0,10.7,25485.0
491,625.0,10.72,25537.0
492,655.0,11.23,25588.0
493,631.0,10.82,25640.0
494,625.0,10.72,25693.0
495,625.0,10.72,25745.0
496,624.0,10.7,25797.0
497,631.0,10.82,25848.0
498,654.0,11.22,25901.0
499,648.0,11.11,25953.0
500,625.0,10.72,26005.0
501,625.0,10.72,26057.0
502,625.0,10.72,26109.0
503,654.0,11.22,26161.0
504,655.0,11.23,26213.0
505,649.0,11.13,26265.0
506,648.0,11.11,26317.0
507,649.0,11.13,26370.0
508,655.0,11.23,26422.0
509,655.0,11.23,26473.0
510,631.0,10.82,26525.0
511,625.0,10.72,26577.0
512,625.0,10.72,26630.0
513,625.0,10.72,26682.0
514,631.0,10.82,26733.0
515,631.0,10.82,26785.0
516,624.0,10.7,26838.0
517,625.0,10.72,26890.0
518,625.0,10.72,26942.0
519,631.0,10.82,26993.0
520,631.0,10.82,27045.0
521,625.0,10.72,27098.0
522,625.0,10.72,27150.0
523,625.0,10.72,27202.0
524,631.0,10.82,27253.0
525,658.0,11.28,27305.0
526,652.0,11.18,27358.0
527,652.0,11.18,27410.0
528,625.0,10.72,27462.0
529,652.0,11.18,27514.0
530,655.0,11.23,27566.0
531,631.0,10.82,27618.0
532,649.0,11.13,27670.0
533,625.0,10.72,27722.0
534,625.0,10.72,27774.0
535,625.0,10.72,27827.0
536,655.0,11.23,27878.0
537,655.0,11.23,27930.0
538,652.0,11.18,27982.0
539,652.0,11.18,28035.0
540,652.0,11.18,28087.0
541,652.0,11.18,28139.0
542,657.0,11.27,28190.0
543,655.0,11.23,28242.0
544,652.0,11.18,28295.0
545,652.0,11.18,28347.0
546,652.0,11.18,28399.0
547,652.0,11.18,28451.0
548,658.0,11.28,28503.0
549,655.0,11.23,28555.0
550,651.0,11.16,28607.0
551,651.0,11.16,28659.0
552,652.0,11.18,28711.0
553,651.0,11.16,28764.0
554,655.0,11.23,28815.0
555,655.0,11.23,28867.0
556,625.0,10.72,28919.0
557,652.0,11.18,28972.0
558,625.0,10.72,29024.0
559,655.0,11.23,29075.0
560,655.0,11.23,29127.0
561,648.0,11.11,29179.0
562,624.0,10.7,29232.0
563,625.0,10.72,29284.0
564,625.0,10.72,29336.0
565,657.0,11.27,29387.0
566,655.0,11.23,29440.0
567,625.0,10.72,29492.0
568,625.0,10.72,29544.0
569,625.0,10.72,29596.0
570,658.0,11.28,29648.0
571,658.0,11.28,29700.0
572,658.0,11.28,29752.0
573,651.0,11.16,29804.0
574,652.0,11.18,29856.0
575,652.0,11.18,29908.0
576,654.0,11.22,29961.0
577,658.0,11.28,30012.0
