Index,deltaT_us,distance_cm,timestamp_ms
483,5711.0,97.94,27631.0
484,5736.0,98.37,27688.0
485,5710.0,97.93,27746.0
486,5760.0,98.78,27803.0
487,5716.0,98.03,27859.0
488,5718.0,98.06,27917.0
489,5737.0,98.39,27974.0
490,5786.0,99.23,28032.0
491,5710.0,97.93,28089.0
492,5710.0,97.93,28146.0
493,5786.0,99.23,28204.0
494,5743.0,98.49,28261.0
495,5716.0,98.03,28317.0
496,5741.0,98.46,28375.0
497,5711.0,97.94,28432.0
498,5711.0,97.94,28489.0
499,5709.0,97.91,28547.0
500,5736.0,98.37,28604.0
501,5736.0,98.37,28661.0
502,5767.0,98.9,28718.0
503,5741.0,98.46,28775.0
504,5718.0,98.06,28832.0
505,5736.0,98.37,28890.0
506,5786.0,99.23,28947.0
507,5711.0,97.94,29004.0
508,5737.0,98.39,29062.0
509,5736.0,98.37,29119.0
510,5742.0,98.48,29175.0
511,5792.0,99.33,29233.0
512,5715.0,98.01,29290.0
513,5736.0,98.37,29347.0
514,5737.0,98.39,29405.0
515,5709.0,97.91,29462.0
516,5761.0,98.8,29519.0
517,5714.0,98.0,29577.0
518,5742.0,98.48,29633.0
519,5742.0,98.48,29690.0
520,5783.0,99.18,29748.0
521,5786.0,99.23,29805.0
522,5761.0,98.8,29862.0
523,5710.0,97.93,29920.0
524,5738.0,98.41,29977.0
525,5736.0,98.37,30034.0
526,5742.0,98.48,30091.0
527,5715.0,98.01,30148.0
528,5743.0,98.49,30205.0
529,5738.0,98.41,30263.0
530,5786.0,99.23,30320.0
531,5741.0,98.46,30377.0
532,5787.0,99.25,30435.0
533,5709.0,97.91,30492.0
534,5742.0,98.48,30550.0
535,5744.0,98.51,30606.0
536,5717.0,98.05,30663.0
537,5786.0,99.23,30721.0
538,5710.0,97.93,30778.0
539,5760.0,98.78,30835.0
540,5735.0,98.36,30893.0
541,5737.0,98.39,30950.0
542,5737.0,98.39,31007.0
543,5766.0,98.89,31064.0
544,5715.0,98.01,31121.0
545,5760.0,98.78,31178.0
546,5761.0,98.8,31236.0
547,5787.0,99.25,31293.0
548,5786.0,99.23,31350.0
549,5710.0,97.93,31408.0
550,5709.0,97.91,31465.0
551,5786.0,99.23,31522.0
552,5716.0,98.03,31579.0
553,5742.0,98.48,31636.0
554,5760.0,98.78,31693.0
555,5786.0,99.23,31751.0
556,5760.0,98.78,31808.0
557,5710.0,97.93,31865.0
558,5762.0,98.82,31923.0
559,5713.0,97.98,31980.0
560,5715.0,98.01,32036.0
561,5766.0,98.89,32094.0
562,5715.0,98.01,32151.0
563,5738.0,98.41,32208.0
564,5708.0,97.89,32266.0
565,5785.0,99.21,32323.0
566,5736.0,98.37,32380.0
567,5787.0,99.25,32438.0
568,5716.0,98.03,32494.0
569,5793.0,99.35,32551.0
570,5716.0,98.03,32609.0
571,5737.0,98.39,32666.0
572,5710.0,97.93,32723.0
573,5736.0,98.37,32781.0
574,5737.0,98.39,32838.0
575,5735.0,98.36,32896.0
576,5792.0,99.33,32952.0
577,5741.0,98.46,33009.0
578,5715.0,98.01,33067.0
579,5786.0,99.23,33124.0
580,5786.0,99.23,33181.0
581,5735.0,98.36,33239.0
582,5710.0,97.93,33296.0
583,5760.0,98.78,33353.0
584,5737.0,98.39,33411.0
585,5792.0,99.33,33467.0
586,5742.0,98.48,33524.0
587,5742.0,98.48,33582.0
588,5760.0,98.78,33639.0
589,5709.0,97.91,33696.0
590,5736.0,98.37,33754.0
591,5736.0,98.37,33811.0
