Index,deltaT_us,distance_cm,timestamp_ms
452,5811.0,99.66,25863.0
453,5766.0,98.89,25920.0
454,5716.0,98.03,25977.0
455,5842.0,100.19,26035.0
456,5818.0,99.78,26091.0
457,5796.0,99.4,26148.0
458,5842.0,100.19,26206.0
459,5818.0,99.78,26263.0
460,5794.0,99.37,26320.0
461,5789.0,99.28,26378.0
462,5767.0,98.9,26435.0
463,5666.0,97.17,26492.0
464,5766.0,98.89,26550.0
465,5836.0,100.09,26607.0
466,5812.0,99.68,26664.0
467,5765.0,98.87,26722.0
468,5649.0,96.88,26778.0
469,5819.0,99.8,26835.0
470,5819.0,99.8,26893.0
471,5841.0,100.17,26950.0
472,5795.0,99.38,27008.0
473,5766.0,98.89,27065.0
474,5789.0,99.28,27122.0
475,5740.0,98.44,27180.0
476,5742.0,98.48,27237.0
477,5766.0,98.89,27294.0
478,5766.0,98.89,27352.0
479,5811.0,99.66,27409.0
480,5817.0,99.76,27466.0
481,5817.0,99.76,27523.0
482,5816.0,99.74,27580.0
483,5771.0,98.97,27637.0
484,5790.0,99.3,27695.0
485,5788.0,99.26,27752.0
486,5740.0,98.44,27809.0
487,5740.0,98.44,27867.0
488,5516.0,94.6,27924.0
489,5817.0,99.76,27980.0
490,5793.0,99.35,28038.0
491,5795.0,99.38,28095.0
492,5817.0,99.76,28152.0
493,5788.0,99.26,28210.0
494,5837.0,100.1,28267.0
495,5835.0,100.07,28324.0
496,5811.0,99.66,28382.0
497,5740.0,98.44,28439.0
498,5789.0,99.28,28496.0
499,5789.0,99.28,28554.0
500,5766.0,98.89,28611.0
501,5765.0,98.87,28668.0
502,5548.0,95.15,28725.0
503,5794.0,99.37,28782.0
504,5765.0,98.87,28839.0
505,5242.0,89.9,28897.0
506,5795.0,99.38,28953.0
507,5817.0,99.76,29010.0
508,5672.0,97.27,29068.0
509,5765.0,98.87,29125.0
510,5837.0,100.1,29182.0
511,5765.0,98.87,29240.0
512,5765.0,98.87,29297.0
513,5764.0,98.85,29355.0
514,5765.0,98.87,29412.0
515,5765.0,98.87,29469.0
516,5646.0,96.83,29526.0
517,5772.0,98.99,29583.0
518,5816.0,99.74,29640.0
519,5765.0,98.87,29698.0
520,5764.0,98.85,29755.0
521,5836.0,100.09,29812.0
522,5763.0,98.84,29870.0
523,5810.0,99.64,29927.0
524,5765.0,98.87,29984.0
525,5764.0,98.85,30042.0
526,5764.0,98.85,30099.0
527,5794.0,99.37,30155.0
528,5816.0,99.74,30213.0
529,5746.0,98.54,30270.0
530,5816.0,99.74,30327.0
531,5788.0,99.26,30385.0
532,5766.0,98.89,30442.0
533,5764.0,98.85,30499.0
534,5764.0,98.85,30557.0
535,5740.0,98.44,30614.0
536,5811.0,99.66,30671.0
537,5740.0,98.44,30729.0
538,5771.0,98.97,30785.0
539,5746.0,98.54,30842.0
540,5771.0,98.97,30900.0
541,5788.0,99.26,30957.0
542,5764.0,98.85,31014.0
543,5833.0,100.04,31072.0
544,5740.0,98.44,31129.0
545,5765.0,98.87,31186.0
546,5765.0,98.87,31244.0
547,5787.0,99.25,31301.0
548,5810.0,99.64,31358.0
549,5788.0,99.26,31416.0
550,5398.0,92.58,31472.0
551,5811.0,99.66,31529.0
552,5811.0,99.66,31587.0
553,5642.0,96.76,31644.0
554,5766.0,98.89,31702.0
555,5766.0,98.89,31759.0
556,5795.0,99.38,31815.0
557,5794.0,99.37,31873.0
558,5817.0,99.76,31930.0
559,5817.0,99.76,31987.0
560,5811.0,99.66,32045.0
561,5812.0,99.68,32102.0
562,5788.0,99.26,32159.0
563,5811.0,99.66,32217.0
564,5811.0,99.66,32274.0
565,5765.0,98.87,32331.0
566,5741.0,98.46,32389.0
567,5788.0,99.26,32446.0
568,5788.0,99.26,32503.0
569,5794.0,99.37,32561.0
570,5793.0,99.35,32617.0
571,5795.0,99.38,32674.0
572,5793.0,99.35,32732.0
573,5242.0,89.9,32789.0
574,5788.0,99.26,32846.0
575,5771.0,98.97,32903.0
576,5793.0,99.35,32960.0
577,5771.0,98.97,33017.0
578,5765.0,98.87,33075.0
579,5765.0,98.87,33132.0
580,5764.0,98.85,33189.0
581,5811.0,99.66,33247.0
582,5740.0,98.44,33304.0
583,5811.0,99.66,33361.0
584,5764.0,98.85,33419.0
585,5496.0,94.26,33475.0
586,5787.0,99.25,33532.0
587,5810.0,99.64,33590.0
588,5787.0,99.25,33647.0
589,5810.0,99.64,33704.0
590,5810.0,99.64,33762.0
591,5809.0,99.62,33819.0
592,5565.0,95.44,33876.0
593,5811.0,99.66,33934.0
594,5816.0,99.74,33990.0
595,5792.0,99.33,34048.0
596,5794.0,99.37,34105.0
597,5620.0,96.38,34162.0
598,5833.0,100.04,34220.0
599,5810.0,99.64,34277.0
600,5789.0,99.28,34334.0
601,5811.0,99.66,34392.0
602,5541.0,95.03,34449.0
603,5817.0,99.76,34506.0
604,5817.0,99.76,34563.0
605,5794.0,99.37,34620.0
606,5748.0,98.58,34677.0
607,5811.0,99.66,34735.0
608,5766.0,98.89,34792.0
609,5788.0,99.26,34849.0
610,5566.0,95.46,34907.0
611,5788.0,99.26,34964.0
612,5748.0,98.58,35021.0
613,5747.0,98.56,35078.0
614,5817.0,99.76,35135.0
615,5771.0,98.97,35192.0
616,5740.0,98.44,35250.0
617,5740.0,98.44,35307.0
618,5640.0,96.73,35364.0
619,5597.0,95.99,35422.0
620,5793.0,99.35,35478.0
621,5772.0,98.99,35535.0
622,5793.0,99.35,35593.0
623,5542.0,95.05,35650.0
624,5787.0,99.25,35707.0
625,5787.0,99.25,35765.0
626,5740.0,98.44,35822.0
627,5764.0,98.85,35879.0
628,5793.0,99.35,35936.0
629,5815.0,99.73,35993.0
630,5621.0,96.4,36050.0
631,5763.0,98.84,36108.0
632,5786.0,99.23,36165.0
633,5786.0,99.23,36222.0
634,5787.0,99.25,36280.0
635,5739.0,98.42,36337.0
636,5809.0,99.62,36395.0
637,5763.0,98.84,36452.0
638,5815.0,99.73,36508.0
639,5768.0,98.92,36566.0
640,5815.0,99.73,36623.0
641,5838.0,100.12,36680.0
642,5838.0,100.12,36738.0
643,5792.0,99.33,36795.0
644,5810.0,99.64,36852.0
645,5786.0,99.23,36910.0
646,5786.0,99.23,36967.0
647,5787.0,99.25,37024.0
648,5810.0,99.64,37082.0
649,5832.0,100.02,37139.0
650,5763.0,98.84,37196.0
651,5740.0,98.44,37254.0
652,5810.0,99.64,37311.0
653,5809.0,99.62,37368.0
654,5770.0,98.96,37425.0
655,5745.0,98.53,37482.0
656,5816.0,99.74,37539.0
657,5763.0,98.84,37597.0
658,5810.0,99.64,37654.0
659,5810.0,99.64,37711.0
660,5788.0,99.26,37769.0
661,5787.0,99.25,37826.0
662,5765.0,98.87,37883.0
663,5809.0,99.62,37941.0
664,5787.0,99.25,37998.0
665,5810.0,99.64,38055.0
666,5809.0,99.62,38113.0
667,5816.0,99.74,38169.0
668,5793.0,99.35,38226.0
669,5816.0,99.74,38284.0
670,5792.0,99.33,38341.0
671,5788.0,99.26,38398.0
672,5763.0,98.84,38456.0
673,5786.0,99.23,38513.0
674,5762.0,98.82,38571.0
675,5787.0,99.25,38628.0
676,5688.0,97.55,38685.0
677,5785.0,99.21,38743.0
678,5815.0,99.73,38800.0
679,5792.0,99.33,38856.0
680,5271.0,90.4,38914.0
681,5786.0,99.23,38971.0
682,5739.0,98.42,39028.0
683,5763.0,98.84,39086.0
684,5770.0,98.96,39142.0
685,5815.0,99.73,39199.0
686,5744.0,98.51,39257.0
687,5809.0,99.62,39314.0
688,5764.0,98.85,39371.0
689,5787.0,99.25,39429.0
690,5786.0,99.23,39486.0
691,5810.0,99.64,39543.0
692,5786.0,99.23,39601.0
693,5786.0,99.23,39658.0
694,5786.0,99.23,39715.0
695,5763.0,98.84,39773.0
696,5815.0,99.73,39829.0
697,5815.0,99.73,39886.0
698,5816.0,99.74,39944.0
699,5815.0,99.73,40001.0
700,5792.0,99.33,40058.0
701,5787.0,99.25,40116.0
